fid,REFUOID,JAHR,MONAT,WOCHENTAG,U_GEMNR2,U_GEMNAME,U_GEBIET,U_GEBIET_T,U_LICHT,U_LICHT_T,U_UNF_TYP,U_UNF_TYP_T,UHRZEIT,BETEILIGUNG
"62346",6094950483,"2024","9",Thu,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"312",Kollision beim Rechtsabbiegen - Rechtsabbieger mit Geradeausfahrendem,18 bis 24 Uhr,"E-Bike, Pkw"
"63142",6094959056,"2024","10",Thu,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"181",Kollision durch Einordnen - von rechts,18 bis 24 Uhr,"Motorrad, Pkw"
"39838",6094796279,"2020","3",Mon,"91401",Wien,"1",Ortsgebiet,"2",Tageslicht,"122",Wechseln des Fahrstreifens mit und ohne Kollision - nach rechts mit Abkommen rechts,6 bis 9 Uhr,"Fahrrad, Pkw"
"21711",6094681731,"2016","9",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"191",Sonstige Unf�lle im Richtungsverkehr,15 bis 18 Uhr,"Pkw, Pkw"
"12009",6094626016,"2015","2",Tue,"91501",Wien,"1",Ortsgebiet,"3",D�mmerung,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,6 bis 9 Uhr,"Pkw, Sonstige"
"15925",6094638094,"2015","9",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw"
"4573",6094565584,"2013","10",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"11",Abkommen rechts - auf der Geraden,9 bis 12 Uhr,Pkw
"27822",6094712214,"2017","10",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"791",Sonstige Unf�lle mit haltenden / parkend. Fahrzeugen,12 bis 15 Uhr,"Pkw, Pkw"
"7419",6094598818,"2014","4",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"332",Kollision beim Umkehren - gleiche Richtung - im Streckenbereich,12 bis 15 Uhr,"Pkw, Pkw"
"2394",6094558227,"2013","6",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"332",Kollision beim Umkehren - gleiche Richtung - im Streckenbereich,12 bis 15 Uhr,"Motorfahrrad, Pkw"
"16124",6094633527,"2015","10",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"131",Auffahren auf fahrendes Fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw, Pkw"
"2035",6094556677,"2013","5",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"821",beim Rechtsabbiegen - Fg.: gleiche Ann�herungsrichtung,15 bis 18 Uhr,"Pkw, Sonstige"
"6661",6094606175,"2014","3",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"131",Auffahren auf fahrendes Fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw"
"17342",6094646667,"2015","12",Fri,"91501",Wien,"1",Ortsgebiet,,,"332",Kollision beim Umkehren - gleiche Richtung - im Streckenbereich,18 bis 24 Uhr,"Pkw, Schienenfahrzeug"
"6771",6094605312,"2014","3",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"332",Kollision beim Umkehren - gleiche Richtung - im Streckenbereich,15 bis 18 Uhr,"Motorrad, Pkw"
"15723",6094641418,"2015","9",Sat,"91501",Wien,"1",Ortsgebiet,,,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,18 bis 24 Uhr,"Pkw, Pkw"
"7816",6094605386,"2014","5",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"131",Auffahren auf fahrendes Fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw"
"5125",6094561285,"2013","11",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"11",Abkommen rechts - auf der Geraden,9 bis 12 Uhr,Pkw
"33650",6094756249,"2018","12",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"851",Fu�g�nger auf Fahrbahn - von rechts,12 bis 15 Uhr,"Fussgaenger:in, Schienenfahrzeug"
"14505",6094639357,"2015","7",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"742",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren rechts,9 bis 12 Uhr,"Motorrad, Pkw"
"19722",6094659255,"2016","6",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"312",Kollision beim Rechtsabbiegen - Rechtsabbieger mit Geradeausfahrendem,18 bis 24 Uhr,"Pkw, Sonstige"
"33717",6094749913,"2018","12",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"824",beim Linksabbiegen - Fg.: gegen Ann�herungsrichtung,12 bis 15 Uhr,"Fussgaenger:in, Pkw"
"7680",6094575045,"2014","5",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"821",beim Rechtsabbiegen - Fg.: gleiche Ann�herungsrichtung,12 bis 15 Uhr,"Fussgaenger:in, Pkw"
"8691",6094578224,"2014","6",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"813","Fahrzeug biegt nicht ab - vor Querstra�e, Fu�g�nger von links",15 bis 18 Uhr,"Fussgaenger:in, Pkw"
