REFUOID	U_WGS84X	U_WGS84Y	JAHR	MONAT	WOCHENTAG	U_GEMNR2	U_GEMNAME	U_GEBIET	U_GEBIET_T	U_LICHT	U_LICHT_T	U_UNF_TYP	U_UNF_TYP_T	UHRZEIT	BETEILIGUNG
6097720397	16,39791012	48,20316793	2013	1	Thu	90301	Wien	1	Ortsgebiet	2	Tageslicht	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	9 bis 12 Uhr	Pkw, Pkw, Pkw
6097720965	16,21494055	48,20249577	2013	1	Tue	92301	Wien	0	Freiland	2	Tageslicht	013	Abkommen rechts - in Linkskurve	9 bis 12 Uhr	Pkw
6097689000	16,36559486	48,1970895	2013	1	Mon	90401	Wien	1	Ortsgebiet	2	Tageslicht	811	Fahrzeug biegt nicht ab - vor Querstraﬂe, Fuﬂg‰nger von rechts	12 bis 15 Uhr	Fussgaenger:in, Pkw
6097686577	16,47637278	48,23817461	2013	1	Thu	92201	Wien	1	Ortsgebiet			131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	18 bis 24 Uhr	Motorfahrrad, Motorfahrrad
6097724543	16,35916561	48,1799176	2013	1	Wed	91001	Wien	1	Ortsgebiet	2	Tageslicht	123	Wechseln des Fahrstreifens mit und ohne Kollision - nach links	15 bis 18 Uhr	Pkw, Pkw
6097696022	16,37560487	48,19696614	2013	1	Wed	90401	Wien	1	Ortsgebiet	3	D‰mmerung	811	Fahrzeug biegt nicht ab - vor Querstraﬂe, Fuﬂg‰nger von rechts	6 bis 9 Uhr	Fussgaenger:in, Pkw
6097724199	16,41618401	48,28922541	2013	1	Thu	92101	Wien	1	Ortsgebiet			813	Fahrzeug biegt nicht ab - vor Querstraﬂe, Fuﬂg‰nger von links	0 bis 6 Uhr	Fussgaenger:in, Pkw
6097686605	16,34551585	48,18622697	2013	1	Fri	90501	Wien	1	Ortsgebiet	2	Tageslicht	991	Sonstige Unf‰lle mit zwei oder mehreren Beteiligten	12 bis 15 Uhr	(Elektro-)Fahrrad, Pkw
6097709370	16,3300902	48,2221821	2013	1	Wed	91701	Wien	1	Ortsgebiet			172	Kollision beim R¸ckw‰rtsfahren	18 bis 24 Uhr	Pkw, Pkw
6097690098	16,3004601	48,19781537	2013	1	Mon	91401	Wien	1	Ortsgebiet			851	Fuﬂg‰nger auf Fahrbahn - von rechts	15 bis 18 Uhr	Fussgaenger:in, Pkw
6097689317	16,32970154	48,21135123	2013	1	Thu	91601	Wien	1	Ortsgebiet	2	Tageslicht	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	12 bis 15 Uhr	Pkw, Pkw
